🕘️更新时间,#genre#
2024-12-25 23:32:32,http://221.224.4.170:1111/tsfile/live/0001_1.m3u8$订阅源-1920x1080

📺央视频道,#genre#
CCTV1,http://221.224.4.170:1111/tsfile/live/0001_1.m3u8$订阅源-1920x1080
CCTV1,http://101.65.33.225:9901/tsfile/live/0001_1.m3u8$订阅源-1920x1080
CCTV1,http://36.35.111.84:9901/tsfile/live/1000_1.m3u8$订阅源-1920x1080
CCTV1,http://183.136.148.214:9901/tsfile/live/0001_1.m3u8$订阅源-1920x1080
CCTV1,http://36.35.111.168:9901/tsfile/live/1000_1.m3u8$订阅源-1920x1080
CCTV1,http://118.122.189.74:9901/tsfile/live/0001_1.m3u8$订阅源-1920x1080
CCTV1,http://61.136.67.238:50085/tsfile/live/0001_1.m3u8$订阅源-1920x1080
CCTV1,http://223.241.247.214:9901/tsfile/live/0001_1.m3u8$订阅源-1920x1080
CCTV1,http://mom.cloudns.be:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$广东酒店源-1920x1080
CCTV1,http://221.233.192.152:1111/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源-1920x1080
CCTV1,http://124.128.73.58:9901/tsfile/live/0001_1.m3u8$订阅源-1920x1080
CCTV1,http://123.159.129.209:9901/tsfile/live/0001_1.m3u8$订阅源-1920x1080
CCTV1,http://116.128.242.83:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源-1920x1080
CCTV1,http://116.128.242.83:9901/tsfile/live/0001_1.m3u8$订阅源-1920x1080
CCTV1,http://60.12.183.46:9901/tsfile/live/0001_1.m3u8$订阅源-1920x1080
CCTV1,http://222.169.85.8:9901/tsfile/live/0001_1.m3u8$订阅源-720x576
CCTV1,http://123.159.73.234:9901/tsfile/live/0001_1.m3u8$订阅源
CCTV1,http://220.164.192.48:50085/tsfile/live/0002_1.m3u8$订阅源
CCTV1,http://221.213.69.82:9901/tsfile/live/0001_1.m3u8$订阅源
CCTV1,http://61.136.172.236:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV2,http://36.35.111.195:9901/tsfile/live/1001_1.m3u8$订阅源-1920x1080
CCTV2,http://221.224.4.170:1111/tsfile/live/0002_1.m3u8$订阅源-1920x1080
CCTV2,http://101.65.33.225:9901/tsfile/live/0002_1.m3u8$订阅源-1920x1080
CCTV2,http://14.204.53.147:9901/tsfile/live/0002_1.m3u8$订阅源-1920x1080
CCTV2,http://183.136.148.214:9901/tsfile/live/0002_1.m3u8$订阅源-1920x1080
CCTV2,http://118.122.189.74:9901/tsfile/live/0002_1.m3u8$订阅源-1920x1080
CCTV2,http://61.136.67.238:50085/tsfile/live/0002_1.m3u8$订阅源-1920x1080
CCTV2,http://223.241.247.214:9901/tsfile/live/0002_1.m3u8$订阅源-1920x1080
